restaurant_name,location,listed_in(type),rest_type,rate_clean,votes_clean,dining_votes,delivery_votes,approx_cost_clean,online_order,book_table
Alkakori,Geeta Colony, New Delhi,Rolls,3.861132015620044,373,0,373,714.3714285714286,Yes,No
Alpine Restaurant & Banquet,Ellis Bridge, Ahmedabad,Beverages,4.0,473,473,0,414.92,No,Yes
Ambaram Fast Food,Egmore, Chennai,Biryani,3.7,35,35,0,275.17241379310343,No,Yes
Ambika Foods,Attapur, Hyderabad,Momos,3.861132015620044,111,0,111,308.4033613445378,Yes,No
Ambur Star Briyani,T. Nagar, Chennai,Sichuan,4.1,207,207,0,681.3131313131313,No,Yes
Amfah Hotel,Mehdipatnam, Hyderabad,North Indian,3.95,129,129,0,429.609756097561,No,Yes
Amma Ki Rasoi,MI Road, Jaipur,Wraps,3.561132015620044,571,0,571,377.1904761904762,Yes,No
Amritsar Punjab Paratha,Ambavadi, Ahmedabad,Beverages,3.8,550,4,546,429.55172413793105,Yes,Yes
Anand Bhajipav & Pulav Ankurwala,Naranpura, Ahmedabad,Street Food,3.9,277,277,0,255.85987261146497,No,Yes
Ande Ka Funda,BTM, Bangalore,Chinese,3.5,92,92,0,203.51677852348993,No,Yes
Andewalaz,Masala Chowk, Jaipur,Street Food,3.65,41,41,0,334.04379562043795,No,Yes
Andhra Gunpowder,Seshadripuram, Bangalore,Hyderabadi,4.061132015620044,0,0,0,675.1875,No,No
Anjappar,Parrys, Chennai,Beverages,3.45,74,74,0,569.7457627118644,No,Yes
Anjoy Latenight Meals,Gurukul, Ahmedabad,Beverages,3.9111320156200433,0,0,0,535.5215311004785,No,No
Anju Sweets,Inderlok, New Delhi,Desserts,4.05,711,711,0,370.44505494505495,No,Yes
Annamaya,Byculla, Mumbai,Beverages,4.199999999999999,1139,187,952,515.5793991416309,Yes,Yes
Apni Rasoi Int,Pandav Nagar, New Delhi,Fast Food,3.7,356,356,0,375.62666666666667,No,Yes
Apoorva Delicacies,Dadar Shivaji Park, Mumbai,Beverages,3.95,654,654,0,489.3478260869565,No,Yes
Arabian Central,Chandrayanagutta, Hyderabad,Fast Food,3.6,983,8,975,320.0,Yes,Yes
Arabian Dreams,Kadavanthra, Kochi,Shawarma,3.25,11,11,0,317.6275862068965,No,Yes
Arabian Food Court,Falaknuma, Hyderabad,Fast Food,3.9111320156200433,217,0,217,186.0,Yes,No
Arham,Ajmer Highway, Jaipur,Beverages,4.1,230,230,0,457.7278481012658,No,Yes
Ariena Boutique Hotel,Purena, Raipur,Pizza,4.05,536,13,523,708.951048951049,Yes,Yes
Armaani Biryani,Arumbakkam, Chennai,Seafood,3.711132015620044,84,0,84,639.7297297297297,Yes,No
Aroma's Hyderabad House,Erandwane, Pune,Beverages,4.1,528,528,0,643.0833333333334,No,Yes
Aromas Cafe & Bistro,Linking Road, Mumbai,Beverages,4.15,0,0,0,729.9755351681957,No,No
Aromas Of Biryani,Jayanagar, Bangalore,North Indian,4.1,423,423,0,570.2936507936508,No,Yes
Arsalan,Park Street Area, Kolkata,Seafood,4.05,0,0,0,751.0646766169154,No,No
Art Of Biryani,Kothapet, Hyderabad,Desserts,3.85,63,63,0,699.939393939394,No,Yes
Art Of Dum,Worli, Mumbai,Beverages,4.111132015620044,0,0,0,1062.5544554455446,No,No
Ashifa Laziz Biryani,Kota, Raipur,Pizza,3.75,914,5,909,198.0,Yes,Yes
Asian Bowls By Zahvi,Porvorim, Goa,Vietnamese,3.892724144860015,3,0,3,1025.0,Yes,No
Atlanta  Family Resto And Bar,Porvorim, Goa,Ice Cream,3.892724144860015,0,0,0,551.9875776397515,No,No
Atom-Bomb Quality Kitchen,Penha de Franca, Goa,Sichuan,3.6611320156200433,508,0,508,604.6792452830189,Yes,No
Axis Juice,Devendra Nagar, Raipur,Pizza,4.011132015620044,0,0,0,369.144703087886,No,No
BBQ Master,Perambur, Chennai,Sichuan,3.8,4,4,0,434.2926829268293,No,Yes
BOX8 - Desi Meals,Wadala, Mumbai,Beverages,3.961132015620043,0,0,0,494.0523560209424,No,No
Baap Of Rolls,Laxmi Nagar, New Delhi,Rolls,3.65,87,5,82,373.6190476190476,Yes,Yes
Babal Da Punjabi Dabha,Egmore, Chennai,Beverages,4.300000000000001,405,405,0,555.9276485788114,No,Yes
Balaji Fast Food,Brahmpuri, Jaipur,Street Food,3.6,713,5,708,236.1904761904762,Yes,Yes
Balaji Santosh Family Dhaba,Amberpet, Hyderabad,Beverages,3.95,273,273,0,477.9899497487437,No,Yes
Balaram Mullick & Radharaman Mullick Sweets,Theatre Road, Kolkata,Pizza,3.9,6,6,0,232.10071942446044,No,Yes
Balle Balle Delhi Wale Soya Chaap Zone,Gomti Nagar, Lucknow,Street Food,4.05,214,214,0,351.75555555555553,No,Yes
Bar Malim,Penha de Franca, Goa,Fast Food,3.892724144860015,0,0,0,291.1764705882353,No,No
Barbeque Nation,Abids, Hyderabad,Beverages,4.0,403,34,369,1313.4957983193278,Yes,Yes
Barbeque Nation,New Market Area, Kolkata,Desserts,3.95,972,267,705,1313.4957983193278,Yes,Yes
Barista Coffee,C Scheme, Jaipur,Desserts,4.05,662,221,441,428.25714285714287,Yes,Yes
Barista Coffee,New Market Area, Kolkata,Desserts,3.55,562,290,272,428.25714285714287,Yes,Yes
Barrack's Grill,Chandrayanagutta, Hyderabad,Beverages,3.961132015620043,403,0,403,361.0,Yes,No
Basant Dhaba,Gopalpura, Jaipur,Beverages,3.45,142,142,0,408.5,No,Yes
Basheer Bai Biriyani,Egmore, Chennai,Kerala,3.55,16,16,0,324.0,No,Yes
Baskin Robbins - Ice Cream Desserts,Centre Square Mall, Kochi,Beverages,4.111132015620044,487,0,487,419.9715428571429,Yes,No
Baskin Robbins Happyness Shakes,Girish Park, Kolkata,Beverages,3.9,8,0,8,484.7368421052632,Yes,No
Bawarchi,RTC X roads, Hyderabad,Desserts,4.15,0,0,0,356.6666666666667,No,No
Bedi's Naan House,Dhankawadi, Pune,Biryani,3.65,281,281,0,308.3956043956044,No,Yes
Behrouz Biryani,Beliaghata, Kolkata,Pizza,3.961132015620043,0,0,0,1218.5945945945946,No,No
Behrouz Biryani,Govind Nagar, Raipur,Pizza,4.111132015620044,0,0,0,1218.5945945945946,No,No
Behrouz Biryani,Shanti Nagar, Bangalore,Kebab,3.961132015620043,644,0,644,1218.5945945945946,Yes,No
Beijing Bites,Richmond Road, Bangalore,Momos,3.8,385,385,0,548.294964028777,No,Yes
Bektash Turkishcafe,Chittoor Road, Kochi,Juices,4.15,266,266,0,307.38693467336685,No,Yes
Bektash Turkishcafe,Marad, Kochi,Kebab,4.2,621,621,0,307.38693467336685,No,Yes
Bell Pepper Pizza,Jhotwara, Jaipur,Beverages,4.0,817,151,666,399.4623655913978,Yes,Yes
Best Belgian Waffle,Erandwane, Pune,Beverages,3.7,173,173,0,426.0,No,Yes
Beyondburg Inc,Palarivattom, Kochi,Continental,4.15,14,14,0,612.9666666666666,No,Yes
Bhosle's Food Court,Panaji, Goa,North Indian,3.331592129239972,16,15,1,152.70967741935485,Yes,Yes
Big Bowl,Kumar Pacific Mall, Pune,Momos,3.811132015620044,305,0,305,483.3970588235294,Yes,No
Big Daddy's,Salunkhe Vihar Road, Pune,Beverages,3.75,289,289,0,577.219512195122,No,Yes
Big Fat Momo,Kacheripady, Kochi,Fast Food,4.199999999999999,426,426,0,281.9493670886076,No,Yes
Big Smokin Burgers,Delhi University-GTB Nagar, New Delhi,Beverages,3.9,664,73,591,438.1904761904762,Yes,Yes
Biggies Burger,FC Road, Pune,Desserts,4.1,589,102,487,405.0491803278688,Yes,Yes
Bikkgane Biryani,Kothrud, Pune,Mughlai,3.811132015620044,0,0,0,670.2666666666667,No,No
Billu Tandooria,Gomti Nagar, Lucknow,Fast Food,4.15,28,28,0,442.21768707482994,No,Yes
Binge Box,Jawahar Nagar, Raipur,Pizza,3.861132015620044,545,0,545,408.5050505050506,Yes,No
Biriyani Bash,Vyttila, Kochi,Biryani,3.35,877,7,870,366.7567567567568,Yes,Yes
Biryani By Kilo,Khar, Mumbai,Kebab,4.011132015620044,0,0,0,883.545,No,No
Biryani Hub,Porvorim, Goa,Desserts,3.892724144860015,0,0,0,751.0,No,No
Bismillah Briyani & Fast Foods,Kolathur, Chennai,Sichuan,3.85,176,176,0,405.76047904191614,No,Yes
Blue Nile,Camp Area, Pune,Beverages,3.85,0,0,0,513.399433427762,No,No
Blue Sea Restaurant,Basheer Bagh, Hyderabad,North Indian,3.961132015620043,942,2,940,427.15909090909093,Yes,Yes
Blue Sea Tea & Bakery,Abids, Hyderabad,Bakery,3.892724144860015,0,0,0,310.0,No,No
Blue Tokai Coffee Roasters,Mahalaxmi, Mumbai,Desserts,4.199999999999999,265,265,0,587.9924255319149,No,Yes
Bole To Vadapav,Naranpura, Ahmedabad,Beverages,3.3,184,1,183,81.69491525423727,Yes,Yes
Bombay Natural's Pizza & Soya Chaap,Hazratganj, Lucknow,Street Food,3.9,58,58,0,347.9381443298969,No,Yes
Boojee Cafe,Carter Road, Mumbai,Desserts,4.4,319,319,0,695.3926701570681,No,Yes
Brik Oven,Church Street, Bangalore,Shake,4.25,0,0,0,822.2388059701492,No,No
Brown Sugar,Axis Mall, Jaipur,Beverages,4.15,0,0,0,524.9362420382166,No,No
BrownBear,Himayath Nagar, Hyderabad,Fast Food,3.8,239,239,0,742.0,No,Yes
Bucket Biryani,Brigade Road, Bangalore,Kebab,3.9,996,15,981,995.5625,Yes,Yes
Buhari Special Juice,Palarivattom, Kochi,Beverages,4.15,74,74,0,171.25,No,Yes
Buhari Vintage Hotel,Kilpauk, Chennai,Beverages,3.8,101,101,0,593.6320754716982,No,Yes
Bunk Class,Amanaka, Raipur,Pizza,3.85,211,211,0,271.125,No,Yes
Burger - Since 1989,Koregaon Park, Pune,Fast Food,4.15,0,0,0,183.57142857142856,No,No
Burger Farm,C Scheme, Jaipur,Beverages,4.15,0,0,0,366.56963350785344,No,No
Burger Farm,Navrangpura, Ahmedabad,Beverages,3.8,35,5,30,366.56963350785344,Yes,Yes
Burger In Law,Kasba, Kolkata,Pizza,3.961132015620043,0,0,0,395.8,No,No
Burger King,Commercial Street, Bangalore,Beverages,3.95,747,747,0,509.26579881656806,No,Yes
Burger King,Dadar West, Mumbai,Beverages,3.65,812,812,0,509.26579881656806,No,Yes
Burger King,MG Road, Kochi,Beverages,4.05,755,755,0,509.26579881656806,No,Yes
Burger King,New Market Area, Kolkata,Beverages,4.1,729,729,0,509.26579881656806,No,Yes
Burger King,Pink Square Mall, Jaipur,Beverages,4.0,162,162,0,509.26579881656806,No,Yes
Burger King,The Next Galleria Mall, Hyderabad,Fast Food,4.1,253,253,0,509.26579881656806,No,Yes
Burger King,The Pavillion, Pune,Beverages,3.6,261,261,0,509.26579881656806,No,Yes
Burger Lane,Raja Park, Jaipur,Fast Food,3.6611320156200433,343,0,343,242.018,Yes,No
Burger Shack,C Scheme, Jaipur,Beverages,4.05,78,78,0,249.672131147541,No,Yes
Burger Singh - Big Punjabi Burgers,Raja Park, Jaipur,Fast Food,4.0,221,11,210,434.7131182795699,Yes,Yes
Burger Singh - Big Punjabi Burgers,Tatibandh, Raipur,Pizza,3.892724144860015,0,0,0,434.7131182795699,No,No
Burger Spot,GCDA Shopping Complex, Kochi,Beverages,3.85,808,7,801,573.6302521008404,Yes,Yes
Burger Xpress,Mukherjee Nagar, New Delhi,Shake,3.8,2,2,0,301.4,No,Yes
BurgerMan,Egmore, Chennai,Beverages,4.35,977,56,921,513.049504950495,Yes,Yes
Burgeria,Kaloor, Kochi,Beverages,4.15,29,29,0,466.55555555555554,No,Yes
Burgerino,Camp Area, Pune,Burger,3.6611320156200433,234,0,234,358.02985074626866,Yes,No
Burgs & Fries,Raja Park, Jaipur,Beverages,3.861132015620044,0,0,0,530.7065217391304,No,No
CA's Kitchen,Shankar Nagar, Raipur,Pizza,3.511132015620044,852,0,852,284.57890625,Yes,No
CEE YEM Bakers,Palluruthy, Kochi,Mandi,3.1500000000000004,851,6,845,242.3063063063063,Yes,Yes
Cafe 17,Ravipuram, Kochi,Beverages,4.35,259,259,0,552.2751322751323,No,Yes
Cafe 36,Samta Colony, Raipur,Pizza,3.6,158,10,148,266.8862275449102,Yes,Yes
Cafe 555 & Aqeeq Restaurant,Masab Tank, Hyderabad,Desserts,4.15,0,0,0,436.79037800687286,No,No
Cafe Amin,Royapettah, Chennai,Beverages,4.15,260,260,0,416.8345323741008,No,Yes
Cafe Ave Maria,Panaji, Goa,Bakery,3.861132015620044,807,0,807,353.855421686747,Yes,No
Cafe Central,Penha de Franca, Goa,Street Food,3.95,46,15,31,228.17619047619047,Yes,Yes
Cafe Cilantro,Porvorim, Goa,Maharashtrian,3.761132015620044,250,0,250,475.96153846153845,Yes,No
Cafe Cup Of Joy,Candolim, Goa,Street Food,3.892724144860015,4,0,4,262.5,Yes,No
Cafe Durbar AFC,Pallimukku, Kochi,Beverages,3.75,36,36,0,404.03469387755104,No,Yes
Cafe Feed Me More,Saligao, Goa,Fast Food,3.892724144860015,1,0,1,225.15151515151516,Yes,No
Cafe Niloufer,Himayath Nagar, Hyderabad,Beverages,4.35,338,338,0,471.6205286343612,No,Yes
Cafe Rasa,Panaji, Goa,Sandwich,3.931592129239972,16,16,0,596.6666666666666,No,Yes
Cake Destination,Porvorim, Goa,Desserts,3.892724144860015,0,0,0,244.6153846153846,No,No
Cake Hut,Sodala, Jaipur,Desserts,3.811132015620044,407,0,407,1600.8,Yes,No
CakeZone,Himayath Nagar, Hyderabad,Desserts,4.011132015620044,0,0,0,832.1702127659574,No,No
Calicut Notebook,Kaloor, Kochi,Biryani,3.95,121,121,0,498.1973684210528,No,Yes
California Burrito,Boiguda, Hyderabad,Beverages,4.25,221,221,0,442.8722807017544,No,Yes
Capital Multi Cuisine Restaurant,Basheer Bagh, Hyderabad,Mughlai,3.2,460,32,428,673.3577981651376,Yes,Yes
Capital Multi Cuisine Restaurant,Malakpet, Hyderabad,Beverages,4.05,0,0,0,673.3577981651376,No,No
Captain Chick,Jhotwara, Jaipur,Fast Food,3.6,853,9,844,358.40579710144925,Yes,Yes
Captain Kunafa,Malakpet, Hyderabad,Turkish,4.1,907,208,699,488.1818181818182,Yes,Yes
Casa Blanca,Byculla, Mumbai,Continental,3.711132015620044,0,0,0,710.1094488188976,No,No
Ceylon Bake House,Marine Drive, Kochi,Rolls,3.85,415,415,0,543.568493150685,No,Yes
Chaat Street,Koramangala 4th Block, Bangalore,Beverages,3.811132015620044,0,0,0,286.04285714285714,No,No
Chaayos Chai+Snacks=Relax,Camp Area, Pune,Beverages,3.811132015620044,247,0,247,496.5398850574713,Yes,No
Chai Govindam,Tikrapara, Raipur,Pizza,3.95,18,18,0,151.39344262295083,No,Yes
Chaitanya,Dadar West, Mumbai,Beverages,4.45,0,0,0,473.82022471910113,No,No
Chapter One,Shankar Nagar, Raipur,Pizza,4.05,248,20,228,365.2972972972973,Yes,Yes
Charcoal Eats - Biryani & Beyond,Dadar East, Mumbai,Rolls,3.961132015620043,0,0,0,1055.0956097560975,No,No
Chawla's Restaurant,C Scheme, Jaipur,Chinese,4.05,411,411,0,717.4412955465586,No,Yes
Cheelizza - India Ka Pizza,Worli, Mumbai,Fast Food,3.861132015620044,333,0,333,648.5741626794259,Yes,No
Cheers,C G Road, Ahmedabad,Ice Cream,4.199999999999999,458,458,0,270.03934579439255,No,Yes
Chef's Kitchen,Civil Lines, Raipur,Pizza,3.95,413,413,0,472.224,No,Yes
Chicago Pizza,Mowa, Raipur,Pizza,3.35,873,29,844,536.551724137931,Yes,Yes
Chicking,Nungambakkam, Chennai,Fast Food,3.65,151,151,0,691.5308641975308,No,Yes
Chickpet Donne Biryani House,Jayanagar, Bangalore,Kebab,3.2,492,5,487,613.4418604651163,Yes,Yes
Chidambaram New Moorthy Cafe,Anna Nagar West, Chennai,Beverages,4.199999999999999,246,246,0,495.4007490636704,No,Yes
Chili's Grill & Bar,Connaught Place, New Delhi,Beverages,4.3,0,0,0,817.5728155339806,No,No
Chill Out,Bibvewadi, Pune,Beverages,4.0,32,32,0,225.0485436893204,No,Yes
Chinese Wok,Malleshwaram, Bangalore,Chinese,3.65,595,2,593,555.7112299465241,Yes,Yes
Chitale Xpress,Prabhadevi, Mumbai,Beverages,4.061132015620044,108,0,108,210.224,Yes,No
Choice Only Veg,Fatima Nagar, Pune,Chinese,4.15,148,148,0,307.06542056074767,No,Yes
Chops 'N' Woks,Raja Park, Jaipur,Beverages,3.892724144860015,0,0,0,477.10843373493975,No,No
Chote Nawab,Chembur, Mumbai,Sichuan,3.8,668,668,0,529.3836477987421,No,Yes
Chotu's The Food People,Ghansi Bazaar, Hyderabad,Biryani,3.7,64,64,0,213.3885350318471,No,Yes
Choudhary Dhaba,Khatipura Road, Jaipur,Chinese,3.65,427,427,0,283.00444444444446,No,Yes
Chowman,Hatibagan, Kolkata,Beverages,4.25,882,882,0,583.6675749318802,No,Yes
Chung Fa Restaurant,Mahanagar, Lucknow,Fast Food,4.05,941,586,355,739.8930481283422,Yes,Yes
Coffee Cream,Ghansi Bazaar, Hyderabad,Chinese,3.6,42,42,0,333.16814159292034,No,Yes
Confusion Box,Devendra Nagar, Raipur,Pizza,3.761132015620044,0,0,0,457.4579439252336,No,No
Copper Chocs,MG Road, Pune,Desserts,3.75,182,34,148,923.728,Yes,Yes
Courtallam Border Rahmath Kadai,T. Nagar, Chennai,Biryani,4.0,904,904,0,484.6611570247934,No,Yes
Craving Bites,Rajajipuram, Lucknow,Street Food,3.761132015620044,0,0,0,280.94736842105266,No,No
Cream Craver,Camp Area, Pune,Beverages,4.15,0,0,0,411.908085106383,No,No
Cream Stone Ice Cream,Begum Bazaar, Hyderabad,Desserts,4.199999999999999,133,133,0,529.4434782608696,No,Yes
Creams N Caffeine,Samta Colony, Raipur,Pizza,3.9,217,217,0,363.1196172248802,No,Yes
Crispy Studio,JP Nagar, Bangalore,Biryani,4.15,59,59,0,467.3142608695652,No,Yes
Crystal Restaurant & Bar,Nallakunta, Hyderabad,Biryani,4.05,697,697,0,595.3679653679653,No,Yes
Cups & Cones,Vyttila, Kochi,Beverages,4.05,70,70,0,342.6666666666667,No,Yes
D Pizza Club,Rajajipuram, Lucknow,Desserts,3.85,488,488,0,465.765625,No,Yes
Dadar Social,Dadar West, Mumbai,Beverages,4.15,437,244,193,707.4137931034483,Yes,Yes
Daily Sushi,Church Street, Bangalore,Beverages,4.3,378,138,240,869.3636363636364,Yes,Yes
Dakshin Swaad,Moudhapara, Raipur,Pizza,3.95,100,100,0,197.02127659574472,No,Yes
Dangee Dums,Paldi, Ahmedabad,Desserts,3.961132015620043,8,0,8,406.1457142857144,Yes,No
Das Khaman,Astodia, Ahmedabad,Street Food,4.061132015620044,712,0,712,193.7746153846154,Yes,No
Dastarkhwan,Kaiserbagh, Lucknow,Awadhi,4.25,0,0,0,400.25,No,No
Day 'N' Night,Navrangpura, Ahmedabad,Street Food,3.6,384,384,0,290.61728395061726,No,Yes
Delhi Darbar Dhaba,Gole Market, New Delhi,Mughlai,3.75,135,135,0,466.3970037453184,No,Yes
Delhi Dhaba,Gopalapuram, Chennai,Beverages,3.4,29,6,23,561.0236220472441,Yes,Yes
Delhi Zaika,Mahim, Mumbai,Beverages,3.7,327,327,0,856.2055555555555,No,Yes
Deva Food Mart,Aliganj, Lucknow,North Indian,4.2,560,560,0,380.4065040650408,No,Yes
Diggin,Connaught Place, New Delhi,Beverages,4.15,457,457,0,789.6273291925465,No,Yes
Dimsum Momo Express,Chembur, Mumbai,Chinese,3.85,3,0,3,445.3229166666666,Yes,No
Dindigul Thalappakatti,Panampilly Nagar, Kochi,Beverages,3.9111320156200433,1,1,0,644.8972413793103,No,Yes
Dindigul Veetu Kalyanam,Egmore, Chennai,Biryani,3.6611320156200433,601,0,601,401.0,Yes,No
Dine Hill,Masab Tank, Hyderabad,Chinese,4.0,0,0,0,625.8125,No,No
Dip N Bite,Tonk Phatak, Jaipur,Beverages,3.75,370,9,361,270.741935483871,Yes,Yes
Domino's Pizza,C Scheme, Jaipur,Fast Food,3.55,814,814,0,610.1174076655052,No,Yes
Domino's Pizza,Entally, Kolkata,Fast Food,3.9,563,563,0,610.1174076655052,No,Yes
Domino's Pizza,MG Road, Bangalore,Fast Food,3.55,86,86,0,610.1174076655052,No,Yes
Domino's Pizza,Matunga West, Mumbai,Fast Food,3.2,33,33,0,610.1174076655052,No,Yes
Domino's Pizza,Perambur, Chennai,Desserts,3.85,4,4,0,610.1174076655052,No,Yes
Domino's Pizza,Rasta Peth, Pune,Desserts,3.25,14,14,0,610.1174076655052,No,Yes
Domino's Pizza,Ravipuram, Kochi,Desserts,3.45,367,367,0,610.1174076655052,No,Yes
Doner King,Malakpet, Hyderabad,Fast Food,4.05,39,39,0,342.69565217391306,No,Yes
Donne Biriyani Mane,Indiranagar, Bangalore,South Indian,3.8,184,184,0,789.96,No,Yes
Donne Biryani House,Malleshwaram, Bangalore,South Indian,3.85,111,111,0,332.0,No,Yes
Donut Factory,Panampilly Nagar, Kochi,Beverages,4.0,381,381,0,457.0987654320988,No,Yes
Down Town Restaurant & Cafeteria,Masab Tank, Hyderabad,Beverages,3.892724144860015,0,0,0,306.15384615384613,No,No
Dream Cutlets,Fort Kochi, Kochi,Fast Food,4.211132015620043,449,0,449,102.37037037037037,Yes,No
Dreams Cafe,Sector 4, Kolkata,Pizza,3.761132015620044,3,3,0,323.30645161290323,No,Yes
Dum Safar Biryani,Dadar Shivaji Park, Mumbai,Desserts,3.861132015620044,79,0,79,1326.7188940092167,Yes,No
Dum Safar Biryani,Lido Mall, Ulsoor,Desserts,3.9111320156200433,7,0,7,1326.7188940092167,Yes,No
Dum Safar Biryani,Memnagar, Ahmedabad,Desserts,4.061132015620044,724,0,724,1326.7188940092167,Yes,No
Eagle Bites Pizza,Ruby Hospital Area, Kolkata,Pizza,4.15,0,0,0,434.32876712328766,No,No
EasyBites by Empire,Brigade Road, Bangalore,Beverages,3.861132015620044,0,0,0,433.9024390243902,No,No
EatFit,Aminijikarai, Chennai,Beverages,3.9111320156200433,0,0,0,463.484076433121,No,No
EatFit,Cunningham Road, Bangalore,Beverages,3.961132015620043,0,0,0,463.484076433121,No,No
Eating Circles,Alwarpet, Chennai,South Indian,4.35,875,875,0,296.89473684210526,No,Yes
Edabba,Esplanade, Kolkata,Pizza,3.861132015620044,0,0,0,371.0382513661202,No,No
Empire Plaza,Marad, Kochi,South Indian,3.45,69,69,0,437.4156378600824,No,Yes
Evoke,Candolim, Goa,Thai,3.892724144860015,0,0,0,673.0,No,No
Exotica,12th Square Building, Hyderabad,Beverages,4.449999999999999,0,0,0,1123.5502958579882,No,No
Express By ABs,Malakpet, Hyderabad,Biryani,3.811132015620044,112,0,112,580.6111827956989,Yes,No
FFC,Palarivattom, Kochi,Burger,3.761132015620044,953,2,951,566.0246913580248,Yes,Yes
FPF  Coffee Wale Bhaiya,Pink City, Jaipur,Beverages,3.6,923,9,914,288.90909090909093,Yes,Yes
FPF Coffee Wale Bhaiya,Vidhyadhar Nagar, Jaipur,Beverages,3.95,400,12,388,295.0736842105263,Yes,Yes
Faasos - Wraps & Rolls,Abids, Hyderabad,Rolls,3.9111320156200433,0,0,0,597.6835960591134,No,No
Faasos - Wraps & Rolls,Wadala, Mumbai,North Indian,3.9111320156200433,0,0,0,597.6835960591134,No,No
Falooda Nation,Kaloor, Kochi,Beverages,3.75,12,12,0,400.2772277227722,No,Yes
Fancy Ice Cream,Charminar, Hyderabad,Ice Cream,3.55,17,17,0,275.94736842105266,No,Yes
Farki,Ashram Road, Ahmedabad,Desserts,4.05,478,1,477,205.08093023255816,Yes,Yes
Farzi Cafe,Cyber Hub, New Delhi,Desserts,4.25,141,0,141,975.6603773584906,Yes,No
Fayrouz,Prahlad Nagar, Ahmedabad,Beverages,4.199999999999999,322,322,0,1103.3605015673982,No,Yes
Ferrara Pizzeria,Nungambakkam, Chennai,Fast Food,4.0,346,27,319,665.875,Yes,Yes
Firangi Bake,Wadala, Mumbai,Mexican,3.961132015620043,737,0,737,661.5058823529412,Yes,No
Firebirds,Palarivattom, Kochi,Beverages,4.061132015620044,81,1,80,388.125,Yes,Yes
Firewood Pizza,Gopalpura, Jaipur,Italian,3.561132015620044,320,0,320,336.128,Yes,No
